Temperature,Year,Month,Country,ISO3
23.2157, 1930, Aug, Afghanistan, AFG
17.4856, 1930, Sep, Afghanistan, AFG
12.5825, 1930, Oct, Afghanistan, AFG
8.11471, 1930, Nov, Afghanistan, AFG
0.55697, 1930, Dec, Afghanistan, AFG
0.18633, 1931, Jan, Afghanistan, AFG
-2.6327, 1931, Feb, Afghanistan, AFG
7.64379, 1931, Mar, Afghanistan, AFG
14.2446, 1931, Apr, Afghanistan, AFG
16.545, 1931, May, Afghanistan, AFG
21.5451, 1931, Jun, Afghanistan, AFG
24.2599, 1931, Jul, Afghanistan, AFG
24.5102, 1931, Aug, Afghanistan, AFG
19.5723, 1931, Sep, Afghanistan, AFG
12.7591, 1931, Oct, Afghanistan, AFG
5.60332, 1931, Nov, Afghanistan, AFG
1.27799, 1931, Dec, Afghanistan, AFG
0.63495, 1932, Jan, Afghanistan, AFG
2.71495, 1932, Feb, Afghanistan, AFG
8.15216, 1932, Mar, Afghanistan, AFG
14.8527, 1932, Apr, Afghanistan, AFG
16.8344, 1932, May, Afghanistan, AFG
22.7501, 1932, Jun, Afghanistan, AFG
25.4726, 1932, Jul, Afghanistan, AFG
22.5658, 1932, Aug, Afghanistan, AFG
19.0288, 1932, Sep, Afghanistan, AFG
11.8948, 1932, Oct, Afghanistan, AFG
5.62468, 1932, Nov, Afghanistan, AFG
-1.4281, 1932, Dec, Afghanistan, AFG
-3.0645, 1933, Jan, Afghanistan, AFG
2.96393, 1933, Feb, Afghanistan, AFG
5.4081, 1933, Mar, Afghanistan, AFG
11.854, 1933, Apr, Afghanistan, AFG
18.6674, 1933, May, Afghanistan, AFG
22.8752, 1933, Jun, Afghanistan, AFG
25.933, 1933, Jul, Afghanistan, AFG
23.6693, 1933, Aug, Afghanistan, AFG
18.1718, 1933, Sep, Afghanistan, AFG
12.493, 1933, Oct, Afghanistan, AFG
7.33607, 1933, Nov, Afghanistan, AFG
3.55236, 1933, Dec, Afghanistan, AFG
-4.8483, 1934, Jan, Afghanistan, AFG
4.53424, 1934, Feb, Afghanistan, AFG
